NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT
01;06/04/2009;91;000058;PRSUPUESTO BOMBA HIDRAULICA A40D;0;3675,68
01;06/04/2009;91;000059;PRESUPUESTO 3304;0;573,27
01;06/04/2009;91;000060;PRESUPUESTO BOMBA INTERCAMBIO;0;3780,68
01;06/04/2009;91;000061;PRESUPUESTO BOMBA 2º;0;3695,06
01;06/04/2009;91;000062;CAMBI DE 250 H REPARAR BULONES DE CUCHARON;504;129,18
01;14/04/2009;91;000064;PRESUPUESTO CONVERTIDOR;0;8768,96
01;13/04/2009;91;000065;REPARACION DE SISTEMA DE ENGRASE;168;0
01;14/04/2009;91;000066;SUSTITUCION DE MOTOR DE ARRANQUE;280;0
01;21/04/2009;91;000067;PRESUPUESTO RADIADOR;0;4655,11
01;21/04/2009;91;000068;COMPROBACION DE FALLO DE MOTOR;60;0
02;21/04/2009;91;000068;SUSTITUCION DE INYECTOR;105;627,13
03;21/04/2009;91;000068;COMPROBACION DE DESCARGA DE GASOIL;60;0
01;22/04/2009;91;000069;PRESUPUESTO;0;5133,99
01;21/04/2009;91;000070;LIMPIEZA DE MAQUINA  Y REPARAR SISTEMA DE ENGRASE AUTOMATICO;728;286,42
01;22/04/2009;91;000071;CAMBIO DE 250 H Y SUSTITUIR CUCHILLAS Y CANTONERAS;504;199,98
01;23/04/2009;91;000072;PRESUPUESTO PC1100;0;1912,22
01;23/04/2009;91;000073;PRESUPUESTO;0;6187,34
01;23/04/2009;91;000074;SUSTITUCION DE SENSOR DE TEMPERATURA;168;344,94
01;29/04/2009;91;000075;REPARACION DE ARTICULACION CENTRAL ;2080;1229,55
01;30/04/2009;91;000076;SUSTITUCION DE BOMBA INYECTORA E INYECTORES;896;0
01;24/04/2009;91;000077;SUSTITUCION DE CABLES DE MANDOS DE VELOCIDADES;504;508,96
01;30/04/2009;91;000078;REPARACION ELECTRICA;252;0
01;04/05/2009;91;000079;MONTAJE DE MATERIAL DE SU PROPIEDAD EN MAQUINA;2016;0
01;05/05/2009;91;000080;PRESUPUESTO MATERIAL TACO VALVULA HIDRAULICO;0;3689,8
01;06/05/2009;91;000081;CAMBIO DE ACEITE Y FILTROS 250 H.;328;174,92
01;06/05/2009;91;000082;SUSTITUCION DE COJINETE DE BOTELLA DE DIRECCION DERECHA;305;875,34
01;07/05/2009;91;000083;REPARACION DE BIVALVA;336;245,31
01;08/05/2009;91;000084;REPARACION EN TALLER;3480;4008,78
02;08/05/2009;91;000084;REPARACION EN FABRICA ;1400;0
03;08/05/2009;91;000084;TANQUE HIDRAULICO NUEVO Y USADO;0;9859,02
01;08/05/2009;91;000085;PRESUPUESTO MATERIAL VOLVO;0;207,41
01;08/05/2009;91;000086;PRESUPUESTO MANO DE OBRA;130;0
01;04/05/2009;91;000087;CORREGIR PERDIDA DE ACEITE ;448;33,45
01;05/05/2009;91;000088;SUSTITUIR TUBERIA DE ENGRASE Y REVISION DE MAQUINAS;448;42,3
01;12/05/2009;91;000089;PRESUPUESTO CAT 375;0;963,21
01;11/05/2009;91;000090;REPARACION EN TALLER;3847,44;4008,78
02;11/05/2009;91;000090;REPARACION EN FABRICA;1400;0
01;11/05/2009;91;000091;REPARACION EN TALLER;3256;9791,33
02;11/05/2009;91;000091;REPARACION EN FABRICA;1400;0
01;11/05/2009;91;000092;REPARACION EN TALLER;3256;8085,25
02;11/05/2009;91;000092;REPARACION EN FABRICA;1400;0
01;11/05/2009;91;000093;REPARACION EN TALLER;3480;4008,78
02;11/05/2009;91;000093;REPARACION EN FABRICA;1400;0
01;13/05/2009;91;000094;MODULO VELOCIDADES;0;3419,26
01;06/05/2009;91;000095;SUSTITUIR MOTOR ARRANQUE Y FALLO EN LUCES TRASERAS;224;1139,24
01;11/05/2009;91;000096;CAMBIO DE 1000 H. ;560;1499,74
01;08/05/2009;91;000097;CAMBIO 250 H Y CORREGIR PERDIDAS DE ACEITE;504;439,01
01;18/05/2009;91;000098;PRESUPUESTO SUSTITUCION TOBERAS MOTOR MERCEDES;448;0
01;18/05/2009;91;000099;MATERIAL AIREA CONDICIONADO;0;609,9
01;14/05/2009;91;000100;REPARACION DE CRISTAL DE PUERTA Y LIMPIEZA DE FILTROS;252;45,5
01;18/05/2009;91;000101;PRESUPUESTO MAZO DE CABLES.;0;700,27
01;14/05/2009;91;000102;REPARAR LUCES DELANTERAS Y FALLO EN CUADRO HIDRAULICO;252;4,95
01;18/05/2009;91;000103;REPARACION DE INSTALACION DE ARRANQUE;168;0
01;15/05/2009;91;000104;REPARACION DE AIRE ACONDICIONADO;104;893,69
01;25/05/2009;91;000105;PRESUPUESTO MATERIAL GASOIL;0;307,95
01;20/05/2009;91;000106;SUSTITUIR RUEDA DELANTERA DERECHA PINCHADA ;224;0
01;25/05/2009;91;000107;CORREGIR PERDIDAS DE ACEITE Y REPARAR GUARDABARROS;728;1993,01
01;27/05/2009;91;000108;MATERIAL AIREACONDICIONADO;0;862,44
01;28/05/2009;91;000109;PRESUPUESTO CEPILLO;0;3354
01;28/05/2009;91;000110; ACOPLAMIENTO AIRE ACONDICIONADO;336;1929,57
01;29/05/2009;91;000111;PRESUPUESTO ELECTROVALVULAS;0;3053,71
01;28/05/2009;91;000112;CAMBIO DE 500 H Y REVISION GENERAL DE MAQUINARIA MOVIL;224;458,44
01;29/05/2009;91;000113;REPARACION DE FRENOS;2080;1702,5
02;29/05/2009;91;000113;PRECIO BOMBAS FRENO NUEVAS SI NO TUBIERAN REPARACION;0;590,3
01;03/06/2009;91;000114;MATERIAL GRUPO DELANTERO;0;7406,22
01;02/06/2009;91;000115;CAMBIO DE ACEITE Y FILTROS 250 H. Y REPARAR BARANDILLAS;336;493,98
01;04/06/2009;91;000116;SUSTITUCION DE MODULO DE RADIADOR;252;1236,32
01;04/06/2009;91;000117;ALQUILER MAQUINA FIAT FR130 PARA QUINCE DIAS;0;1250
01;04/06/2009;91;000118;REPARACION DE MAQUINA;2800;4264,36
01;05/06/2009;91;000119;REPARACION DE MOTOR;1120;0
02;05/06/2009;91;000119;REPARACION EN TALLER;2240;5057,1
01;08/06/2009;91;000120;MATERIAL REPARACION DE TRANSMISION;0;2214,19
01;09/06/2009;91;000121;REPARACION DE MOTOR;0;7099,36
01;08/06/2009;91;000122;REVISION DE NIVELES MAQUINARIA MOVIL;280;0
01;15/06/2009;91;000123;REVISION DE MAQUINARIA MOVIL;336;0
01;17/06/2009;91;000124;REPARAR SOPORTE BOMBA INYECTORA;168;0
01;17/06/2009;91;000125;TRASLADAR MAQUINA A PUNTO LIMPIO;392;0
01;25/06/2009;91;000126;CAMBIO DE 250 H. REVISION DE MAQUINARIA Y LIMPIEZA;336;314,86
01;26/09/2009;91;000127;REPARACION DE CORTE DE ELEVACION DE PALA;392;1811,89
01;29/06/2009;91;000128;CAMBIO DE 500 H. Y REVISION DE MAQUINAS;224;458,44
01;30/06/2009;91;000129;REPARACION DE AIRE AC, CORREAS Y BULONES ARTICULACION Y PALA;336;73,85
01;06/07/2009;91;000130;CAMBIO DE 2000 H Y REVISION DE MAQUINAS;560;1383,82
02;10/07/2009;91;000131;REPARACION DE MOTOR EN TALLER;2800;8883,49
01;10/07/2009;91;000132;MATERIAL REPARACION DE FRENOS;0;1740,34
01;10/07/2009;91;000133;MATERIAL REPARCION BOTELLA ELEVACION;0;1054,03
01;14/07/2009;91;000134;REVISION DE TRANSMISION;1560;2929,99
01;15/07/2009;91;000135;TURBO CUMMNINS ;0;2856,52
01;15/07/2009;91;000136;MATERIAL TURBO;0;1937,58
01;16/06/2009;91;000137;MATERIAL COGIDA ESCAPE;0;354,74
01;16/06/2009;91;000138;MATERIAL INYECTOR;0;1421,86
01;16/07/2009;91;000139;MECANIZADO DISCO FRENO DELANTERO;0;115,75
01;15/07/2009;91;000140;REPARACION DE MOTOR;0;8745,94
01;15/07/2009;91;000141;MATERIAL  DE MANDOS PALA;0;246,36
02;15/07/2009;91;000141;SENSOR , INTERRUPTOR FRENO MANO , CORREA MOTOR;0;179,77
01;20/07/2009;91;000142;PIEZAS;0;255,84
01;21/07/2009;91;000143;FABRICACION EVAPORADOR PARA BULLDOZER D65;0;415
01;09/07/2009;91;000144;REPARACION DE AIRE ACONDICIONADO, REVISION DE LUCES;168;166,13
01;09/07/2009;91;000145;SUSTITUIR LUCES DEL CUADRO, Y COLOCAR ABRAZADERAS TURBO;112;47,6
01;16/07/2009;91;000146;CAMBIO DE 250 H. Y REVISION DE MAQUINARIA MOVIL;182;249,88
01;20/07/2009;91;000147;CAMBIO DE ACEITE Y FILTROS 1000 ;392;1451,65
01;23/07/2009;91;000148;PRESUPUESTO CUERPO DE VALVULAS;0;3650
01;24/07/2009;91;000149;MATERIAL ORIGINAL;0;2651,84
01;24/07/2009;91;000150;PRESUPUESTO RULO ORIGINAL;0;1018,57
01;24/07/2009;91;000151;PRESUPUESTO MATERIAL ORIGINAL;0;667,97
01;24/07/2009;91;000152;PRESUPUESTO KOMATSU PC 340LC-7K;0;3188,23
02;24/07/2009;91;000152;PRESUPUESTO KOMATSU PC 210LC-6K;0;2108,71
03;24/07/2009;91;000152;PRESUPUESTO KOMATSU PC 300-5K;0;1852,11
01;05/08/2009;91;000153;REPARACION DE BOMBA INYECTORA, SUSTITUCION DE PIEZAS DEFECTUOSAS POR NUEVAS, COMPROBACION EN BANCO DE PRUEBA;0;10544,7
01;31/07/2009;91;000154;PRESUPUESTO FILTROS;0;1344,12
01;28/07/2009;90;000001;REPARACION BOMBA DE AGUA Y REVISION MAQUINARIA MOVIL;322;525,55
01;05/08/2009;91;000155;REPARACION DE BOMBA INYECTORA, SUSTITUCION DE PIEZAS DEFECTUOSAS POR NUEVAS, COMPROBACION EN BANCO DE PRUEBA;0;8005,6
01;03/08/2009;91;000156;CAMBIO DE 2000 H.;560;2342,3
01;06/08/2009;91;000157;MATERIAL CADENA;0;675,61
01;13/08/2009;91;000158;COMPROBACION Y CHEQUEO MOTOR;468;0
01;13/08/2009;91;000159;FILTROS CAT C-9 ORIGINAL;0;312,52
02;13/08/2009;91;000159;FILTROS CAT C-9 ALTERNATIVO;0;107,31
03;13/08/2009;91;000159;FILTROS VOLVO L 180 D ALTERNATIVO;0;54,3
01;17/08/2009;91;000160;MATERIAL REPARACION CILINDRO ELEVACION;0;1773,64
01;18/08/2009;91;000161;REPARACION DE 2 BOMBAS, SUSTITUIR JUNTAS, GRUPO ROTATORIOS COMPLETOS (BARRIL, PLACAS, PISTONES, ETC) CORREDERA CD PONTENCIA A UNA DE ELLAS, PLACA IMPULSORA, PISTON Y VARILLA DE SERVO A LA OTRA, MONTAJE Y PRUEBA;0;16640
01;19/08/2009;91;000162;MATERIAL ECM;0;2400,63
01;19/08/2009;91;000163;MATERIAL AIRE ACONDICIONADO;0;1676,75
01;19/08/2009;91;000164;PIEZAS CONVERTIDOR;0;4825,35
01;19/08/2009;91;000165;PIEZAS CONVERTIDOR;0;3727,28
01;19/08/2009;91;000166;PIEZAS CONVERTIDOR;0;13286,29
01;19/08/2009;91;000167;PIEZAS CONVERTIDOR;0;3261,86
01;20/08/2009;91;000168;DESPLAZAMIENTO A INSTALACIONES DE FINANZAUTO EN DOS HERMANAS, DESMONTAR CARENAJES, SOPORTE DE FILTROS, TUBERIAS, TAPA DE BALANCINES, BALANCINES E INYECTORES. LIMPIEZA DE PIEZAS COLOCACION DE 6 INYECTORES, PIPETAS, MONTAJE DE BALANCINES Y BALANCINES, HACER REGLAJES DE VALVULAS, MONTAJE DE TAPAS, CARENAJES Y COMPROBACION DE MAQUINA.;320;0
02;20/08/2009;91;000168;SEGUN PARTE Nº 4501 DEL DIA 19/08/2009  DIAGNISTICO DE AVERIA;0;336
01;24/08/2009;91;000169;CAMBIO COMPLETO;240;1677,17
01;24/08/2009;91;000170;CORREGIR SALIDEROS TAPA BALANCINES , ESCAPE Y CARACOLA TURBO;360;0
01;25/08/2009;91;000171;MATERIALES VOLVO;0;385,27
01;25/08/2009;91;000172;PRESUPUESTO DESMONTAJE PANTALLA CAZO;208;0
01;26/08/2009;91;000173;PIEZAS NECESARIAS PARA LA REPARAR  ACELERACION DE MAQUINA;0;1748,16
01;26/08/2009;91;000174;PRESUPUESTO KIT REPARACION BOMBA DE AGUA;0;859,54
01;07/08/2009;91;000175;REVISION DE DESGUACE DE AIRE A.C. Y MAQUINARIA;140;237,98
01;14/08/2009;91;000176;CAMBIAR INTERRUPTOR DE CAPO Y REVISION DE MAQUINARIA MOVIL;448;0
01;19/08/2009;91;000177;REPARACION DE BOMBAS Y CORREGIR PERDIDA DE AGUA;1064;283,35
01;21/08/2009;91;000178;CAMBIO DE 250 H, CAMBIAR CORREA Y REVISION DE MAQUINAS;1176;561,12
01;24/08/2009;91;000179;CAMBIO DE 250 H.;336;389,68
01;24/08/2009;91;000180;CAMBIO DE 250 H ;168;272,61
01;27/08/2009;91;000181;MATERIAL RECAMBIOS;0;299,27
01;14/08/2009;91;000182;REPARACION DE BOMBAS JOKEY;0;1115,2
01;27/08/2009;91;000183;REPARACION DE MOTOR EN TALLER;2800;11933,16
01;30/08/2009;91;000184;REPARACION DE INYECTORES Y BOMBA INYECCION;540;2272,67
01;01/09/2009;91;000185;PRESUPUESTO DE FILTROS;0;212,2
01;10/07/2009;91;000186;REPARACION DE MOTOR;2240;0
01;02/09/2009;91;000188;MATERIALES RECAMBIOS;0;609,28
01;07/09/2009;91;000189;MATERIALES RECAMBIOS;0;258,1
01;07/09/2009;91;000190;PRESUPUESTO PIEZAS
;0;272,15
01;08/09/2009;91;000191;MATERIALES DE RECAMBIOS;0;220,35
01;08/09/2009;91;000192;MATERIALES DE RECAMBIOS;0;220,35
01;08/09/2009;91;000193;MATERIALES DE RECAMBIOS;0;651,12
01;08/09/2009;91;000194;MATERIALES DE RECAMBIOS;0;266,49
01;08/09/2009;91;000195;MATERIALES RECAMBIOS;0;552,41
01;08/09/2009;91;000196;MATERIALES RECAMBIOS;0;1328,35
01;08/09/2009;91;000197;MATERIALES RECAMBIOS;0;451,9
01;09/09/2009;91;000198;ACOPLACION ENFRIADOR DE GASOIL;280;961,3
01;09/09/2009;91;000199;MATERIAL BOMBA HIDRAULICA;0;3699,25
01;09/09/2009;91;000200;MATERIAL SENSOR;0;339,89
01;09/09/2009;91;000201;MATERIAL REPARACION JUNTAS BOMBA;0;165,14
01;11/09/2009;91;000202;PRESUPUESTO DE FILTRO;0;686,07
01;14/09/2009;91;000203;MATERIAL INTERCAMBIO;0;995,75
01;15/09/2009;91;000204;MATERIAL MOTOR;0;9605,32
01;15/09/2009;91;000205;PRESUPUESTO PIEZAS DE FRENOS ;0;12509,53
01;15/09/2009;91;000206;MATERIAL AIRE ACONDICIONADO;0;770,25
01;16/09/2009;91;000207;PRESUPUESTO DE PIEZAS;0;488,65
01;22/09/2009;91;000208;REPARACION DE MOTOR;2080;0
02;22/09/2009;91;000208;REPARACION EN TALLER;2800;8382,6
01;22/09/2009;91;000209;PRESUPUESTO RODAJE D85EX15EO;0;18570,23
01;22/09/2009;91;000210;MATERIAL ;0;1824,5
01;24/09/2009;91;000211;MATERIAL KOMATSU;0;462,65
01;24/09/2009;91;000212;MATERIAL KOMATSU;0;657,14
01;24/09/2009;91;000213;LATIGUILLO;0;299,36
01;08/09/2009;91;000214;CAMBIO DE 500 H Y REVISAR LUCES;168;493,17
01;07/09/2009;91;000215;CAMBIO DE 500 H Y REVISAR MAQUINARIA MVOIL;392;467,01
01;31/08/2009;91;000216;REPARACION DE BOMBA ;560;0
02;31/08/2009;91;000216;REPARACION EN TALLER;0;838
01;03/09/2009;91;000217;REPARAR MANDO DE VELOCIDADES;336;387,7
01;04/09/2009;91;000218;REPARACION DE AIRE ACONDICIONADO;644;414,29
01;09/09/2009;91;000219;REPARAR FAROS Y CLAXO, REVISION MAQUINARIA MOVIL;448;131,85
01;25/09/2009;91;000220;MATERIAL KOMATSU;0;297,12
01;29/09/2009;91;000221;REPARACION DE MOTOR;3000;10961,39
01;01/10/2009;91;000222;PRESUPUESTO MINI;0;508,65
01;01/10/2009;91;000223;PRESUPUESTO TURBO INTERCAMBIO;0;1439,42
01;01/10/2009;91;000224;PRESUPUESTO MATERIAL BOMBA DE AGUA;0;266,51
01;05/10/2009;91;000225;PRESUPUESTO VALVULAS HD465-5;0;58,83
01;05/10/2009;91;000226;PRESUPUESTO TURBO PC1250ST7;0;6295,15
01;05/10/2009;91;000227;TURBO REMAN (NUEVO);0;5833,89
01;06/10/2009;91;000228;PRESUPUESTO WA500;0;2605,26
01;06/10/2009;91;000229;PRESUPUESTO ENFRIADORES VOLVO;0;5071,87
01;06/10/2009;91;000230;REPARACION DE MOTOR EN NUESTRAS INSTALACIONES;3000;8880,85
01;06/10/2009;91;000231;PRESUPUESTO CARCASA;0;377,8
01;06/10/2009;91;000232;PRESUPUESTO SOPORTE CARCASA;0;104,76
01;06/10/2009;91;000233;REPARACION DE MOTOR;4480;0
01;06/10/2009;91;000234;PRESUPUESTO MATERIAL;0;1156,58
01;07/10/2009;91;000235;REPARAR, VERIFICAR Y CALIBRAR BOMBA INYECTORA, MONTANDO ELEMENTOS, ARBOL DE LEVAS Y TAQUET. SE PRESUPUESTA RACK SENSOR Y SOLENOIDE , POR POSIBLE AVERIA A CONFIRMAR UNA VEZ SE REALICE LA PRUEBA FINAL EN BANCO.;0;12064,22
01;07/10/2009;91;000236;REPARAR, VERIFICAR Y CALIBRAR BOMBA INYECTORA. SE PRESUPUESTA RACK SENSOR Y SOLENOIDE, POR POSIBLE AVERIA A CONFIRMAR UNA VEZ SE REALICE LA PRUEBA FINAL EN BANCO.;0;9723,6
01;13/10/2009;91;000237;REPARAR, VERIFICAR Y CALIBRAR BOMBA INYECTORA, MONTANDO ELEMENTOS, ARBOL DE LEVAS Y TAQUET;0;8746,82
01;13/10/2009;91;000238;REPARAR, VERIFICAR Y CALIBRAR BOMBA INYECTORA;0;6406,2
02;06/10/2009;91;000233;REPARACION CAJA TRANSFERENCIA;560;122,72
01;12/10/2009;91;000239;REPARACION DE PROTECCIONES TRASERA RADIADOR;240;1810,63
01;16/10/2009;91;000240;ANEXO PRESUPUESTO FRENOS WA500;0;1708,98
01;20/10/2009;91;000241;REPARACION DE MOTOR;2600;11198,08
01;22/10/2009;91;000242;PRESUPUESTO FILTROS Y ACEITES PW180-7;0;818,51
01;26/10/2009;91;000243;PRESUPUESTO BULONES Y CASQUILLOS;0;1849,6
01;26/10/2009;91;000244;MATERIAL REPARACION MOTOR;0;7695,36
01;26/10/2009;91;000245;PRESUPUESTO MANO DE OBRA DE REPARACION DE MOTOR;3000;1185,49
01;30/10/2009;91;000246;REPARACION DE BOMBA HIDRAULICA;581,25;4559,56
01;30/10/2009;91;000247;REPARACION DE TRANSMISION;0;6429,92
01;04/11/2009;93;000002;PRESUPUESTO DE PIEZAS;0;376,09
01;05/11/2009;91;000248;PRESUPUESTO TURBOCARGADOR;0;1045,36
01;06/11/2009;91;000249;ANEXO DE MATERIAL DE PRESUPUESTO 03S909-00059;0;3317,4
01;06/11/2009;93;000003;PRESUPUESTO MONITOR PC 750;60;2973,59
01;06/11/2009;91;000250;REPARACION BOMBAS HIDRAULICAS EN TALLER;520;2220,16
02;06/11/2009;91;000250;MATERIAL TANQUE HIDRAULICO;0;0
01;10/11/2009;91;000251;ACTUADOR FRENO MANO;0;495,8
01;12/11/2009;91;000252;MATERIAL CUMMINS;0;708,1
01;12/11/2009;91;000253;MATERIAL SENSORES;0;2015,36
01;16/11/2009;91;000254;MATERIAL CAZO;0;603,48
01;19/11/2009;91;000255;REPARACION CEPILLO BARREDORA;0;349,27
01;20/11/2009;91;000256;PRESUPUESTO WA320-5;0;274,15
01;20/11/2009;91;000257;REPARACION DE MOTOR;4620;19982,67
01;20/11/2009;91;000258;MODIFICACION MATERIAL;0;989,85
01;23/11/2009;91;000259;PRESUPUESTO INSTALACION ELECTRICA GENERADOR;420;0
01;24/11/2009;91;000260;PRESUPUESTO PC750SE-6K;0;1114,3
01;24/11/2009;91;000261;MATERIAL CASE;0;3736,88
01;24/11/2009;91;000262;MATERIAL CASE;0;2945,12
01;24/11/2009;91;000263;PRESUPUESTO WA500-3H;0;3271,77
01;24/11/2009;91;000264;PRESUPUESTO SOPORTES Y TUBOS D155AX-5;0;531,04
01;23/11/2009;91;000265;MATERIAL BOMBA HIDRAULICA;0;15,06
01;23/11/2009;91;000266;MATERIAL BOMBA HIDRAULICA;0;82,74
01;27/11/2009;91;000267;PRESUPUESTO TAPAS ALOJAMIENTO DE FILTROS DE AIRE;0;90
01;27/11/2009;91;000268;MATERIAL VOLVO ALTERNATIVO;0;517,93
01;04/12/2009;91;000269;PRESUPUESTO JUNTAS;0;45,84
01;04/12/2009;91;000270;REPARACION DE MOTOR EN TALLER;4480;14249,3
01;04/12/2009;91;000271;MATERIAL MOTOR;0;7856,98
01;14/12/2009;91;000272;PRESUPUESTO REPARACION BOMBA INYECTORA;0;3072,62
01;14/12/2009;91;000273;PRESUPUESTO FILTROS;0;458,92
01;14/12/2009;91;000274;MATERIAL CADENAS;0;1100,35
01;16/12/2009;91;000275;PRESUPUESTO ALTERNADOR;0;554,14
01;17/12/2009;91;000276;PRESUPUESTO SUSTITUCION COMPRESOR A/A Y CARGA;56;120
01;17/12/2009;91;000277;PRESUPUESTO MATERIAL 3214;0;3618,28
01;17/12/2009;91;000278;DESMONTAJE DE MOTOR;900;0
01;17/12/2009;91;000279;MONTAJE DE MOTOR;900;0
01;22/12/2009;91;000280;REDUCTOR ;0;10187
01;29/12/2009;91;000281;PRESUPUESTO MATERIAL DE DESGASTE;0;1148,16
01;29/12/2009;91;000282;PRESUPUESTO BLOQUE MOTOR;0;1723,47
01;29/12/2009;91;000283;PRESUPUESTO REPARACION MOTOR CUMMINS;0;1722,42
01;30/12/2009;91;000284;REPARACION BOMBA INYECCION E INYECTORES;0;1948,22
01;13/01/2010;11;000001;PRESUPUESTOS JUNTA;0;68,49
01;15/01/2010;11;000002;PRESUPUESTO BOTELLA DE BOLTEO CUCHARA;0;299,18
01;26/01/2010;11;000003;MATERIAL RUEDA CAVILLA;0;1921,64
01;26/01/2010;11;000004;PRESUPUESTO MANGUERA Y ABRAZADERA;0;310,66
01;27/01/2010;11;000005;REPARACION DE TURBO NUEVO Y REPARACION MANDOS PALA;252;3746,73
01;27/01/2010;11;000006;REPARACION DE TURBO INTERCAMBIO Y REPARACION MANDOS PALA;252;3204,93
01;01/02/2010;11;000007;PRESUPUESTO MOTOR DE ARRANQUE;0;675,86
01;02/02/2010;11;000008;PRESUPUESTO CRISTAL;0;490
01;03/02/2010;11;000009;REPARACION DE TRANSMISION EN TALLER;4480;1338,45
01;03/02/2010;11;000010;REPARACION DE TRANSMISION;3360;0
02;03/02/2010;11;000010;REPARACION EN TALLER;2520;5521,95
01;04/02/2010;13;000002;PRESUPUESTO MATERIAL;0;1608,73
01;05/02/2010;11;000011;PRESUPUESTO REDUCTOR COMP. EC360BLC (11180);0;9187
01;05/02/2010;11;000012;PRESUPUESTO DE SUSTIUCIÓN Y MONTAJE DE 4 CUBIERTAS MACIZAS, ESPEJOS, AVISADOR ACUSTICO, ASIENTO Y CINTURON.;308;1446,56
01;09/02/2010;11;000014;REPARACION DE MANDO DE PALA;84;-28,5
01;15/02/2010;11;000015;PRESUPUESTO SENSOR;0;723,95
01;15/02/2010;11;000016;MATERIAL REPUESTO;0;121,84
01;18/02/2010;11;000017;RADIADOR CON ENFRIADOR COMPLETO;0;2295,75
01;18/02/2010;11;000018;COMPROBACION Y PRUEBAS BOMBA HIDRAULICA;180;0
03;18/02/2010;11;000018;REPARACION ROTOR GIRO MAQUINA;300;544,8
04;18/02/2010;11;000018;REPARACION VALVULAS COMPENSADORAS;300;677,66
05;18/02/2010;11;000018;REPARACION BOMBA DE AGUA;60;285,05
01;18/02/2010;11;000019;COMPROBACION Y PRUEBAS BOMBA HIDRAULICA;180;0
02;18/02/2010;11;000019;REPARACION DE BOMBA HIDRAULICA;1350;3176,72
03;18/02/2010;11;000019;REPARACION ROTOR GIRO MAQUINA;300;342,25
04;18/02/2010;11;000019;REPARACION VALVULAS COMPENSADORAS;300;677,66
05;18/02/2010;11;000019;REPARACION DE BOMBA AGUA;60;175,85
06;18/02/2010;11;000018;FILTROS Y ACEITE HIDRAULICO;0;790,3
06;18/02/2010;11;000019;FILTROS Y ACEITE HIDRAULICO;0;790,3
01;22/02/2010;11;000020;PRESUPUESTO MOTOR PC600-6K A FALTA DE CONFIRMAR Nº DE SERIE;0;76764
01;23/02/2010;11;000021;PRESUPUESTO CORREA Y TENSOR CORREA;0;580,16
01;24/02/2010;11;000022;MATERIAL KOMATSU;60;348,38
01;24/02/2010;11;000023;CAMBIO DE INYECTORES;150;2811,96
01;25/02/2010;11;000024;REPARACION DE MOTOR;2700;9871,27
01;02/03/2010;11;000025;MATERIAL BOMBA INYECCION;0;3425,6
01;02/03/2010;11;000026;REPARACION BOMBA INYECCION;0;1166,7
01;02/03/2010;11;000027;PRESUPUESTO PARA RODILLO Y KIT DE REPARACION DE BOTELLA TENSORA  DE LA CADENA PARA PLAZO DE ENTREGA DE 3 DIAS;0;890,36
01;02/03/2010;11;000028;PRESUPUESTO PARA RODILLO Y KIT DE REPARACION DE BOTELLA TENSORA  DE LA CADENA PARA PLAZO DE ENTREGA DE 15  A 20 DIAS;0;487,43
01;03/03/2010;11;000029;PRESUPUESTO ALTERNADOR;0;3817
01;03/03/2010;11;000030;REPARACION Y COMPROBACION DE 6 INYECTORES;0;1411,38
01;03/03/2010;10;000001;REPARACION DE CUCHARON;0;12000
01;03/03/2010;10;000002;REPARACION DE AGUILON;0;11200
01;04/03/2010;11;000031;PRESUOPUESTO TACOS DE GOMA;0;806,82
01;04/03/2010;11;000032;PRESUPUESTO DEL BOMBIN DE SISTEMA DE ARRANQUE (REFERENCIA 6679842 DIVIDIDA EN OTRAS 3)  Y DE JUEGO DE LLAVES;0;116,77
01;04/03/2010;11;000033;PRESUPUESTO DE KIT DE ADAPTADOR DE COMUNICACIÓN CATERPILLAR Y SOFWARE SIS STW ET INCLUIDA INSTALACION DEL PROGRAMA  EN EL PORTATIL;0;2966
01;04/03/2010;11;000034;REPARACION BOMBA INYECTORA;0;1154,58
01;04/03/2010;11;000035;COMPROBACION  BANCO DE PRUEBAS;0;153,24
01;05/03/2010;13;000003;PRESUPUESTO CUCHILLAS BULLDOZER;0;515,98
01;05/03/2010;11;000036;PRESUPUESTO DE SILENCIOSO  - TUBO ESCAPE Y ABRAZADERAS;0;825,97
01;05/03/2010;11;000037;PRESUPUESTO PEGATINAS IDENTIFICATIVAS;0;21,94
01;08/03/2010;11;000038;MATERIAL EMBRAGUE;728;1408,44
01;10/03/2010;11;000039;PRESUPUESTO CIGUEÑAL, BIELA, CASQUILLOS, KIT JUNTAS;0;3749,55
01;15/03/2010;11;000040;MATERIAL BOMBA INYECCION;0;2064,98
01;15/03/2010;11;000041;PRESUPUESTO BOBCAT MOD S130 (ACOPLAMIENTO, TORNILLO, JUNTA, VALVULA);0;67,16
01;15/03/2010;11;000042;CAMBIAR I-ECU;87;0
01;16/03/2010;11;000043;REPARACION BOMBA INYECCION;0;1556,63
02;16/03/2010;11;000043;REPARACION INYECTORES;60;448,32
01;16/03/2010;11;000044;MATERIAL FUERA PRESUPUESTO;0;1752,93
01;17/03/2010;11;000045;CAMBIAR I-ECU;56;2201,63
01;18/03/2010;11;000046;PRESUPUESTO TORNILLOS Y TUERCAS;0;850
01;22/03/2010;11;000047;PRESUPUESTO PARA BOBCAT S130 DE JUNTAS, TORNILLO Y VALVULA;0;88,38
01;22/03/2010;11;000048;MATERIAL ORIGINAL CUMMINS;0;9101,18
