NUMTAR;FECORD;NUMORD;DESTAR;CODTER;MARCA
02;21/06/2000;000228;REPARACION MAQUINA EN TALLER;50;N
01;14/07/2000;000236;REPARACION DE AGUILON;54;N
02;14/07/2000;000236;SUSTITUCION DE RETENES DE HIDRAULICO;54;N
03;14/07/2000;000236;CAMBIO GENERAL DE ACEITES Y FILTROS.;54;N
04;14/07/2000;000236;SUSTITUCION DE CABLE DE ACELERADOR;54;N
05;14/07/2000;000236;REVISION ELECTRICA;54;N
06;14/07/2000;000236;REPARACION DE CERRADURA DE PUERTA;54;N
07;14/07/2000;000236;SALIDERO POR CAJA DE VALVULAS;54;N
08;14/07/2000;000236;SALIDERO POR TUBO DE RETRO;54;N
01;17/07/2000;000237;REPARACION COMPRESOR;40;N
01;07/07/2000;000238;FUGA DE GASOIL POR BOMBA INYECTORA;7;N
02;20/06/2000;000220;REVISION EN CANTERA;387;N
01;14/07/2000;000239;REVISION DE TRANSMISION;1;N
01;17/07/2000;000240;REVISION DE VIBRACIONES;126;N
02;04/05/2000;000167;REPARACION BOMBA DIRECCION Y DE CONVERTIDOR;126;N
02;14/07/2000;000239;REPARACION DE TRANSMISION EN TALLER;1;N
01;27/07/2000;000241;REPARACION VALVULA DE DISPARO Y PEDAL DE FRENOS;266;N
02;27/07/2000;000241;REPARACION DE COMPRESOR;266;N
01;28/07/2000;000242;SUSTITUCION DE TUBOS DE FRENOS;50;N
01;31/07/2000;000243;REVISION DE HIDRAULICOS;375;N
02;31/07/2000;000243;REPARACION EN TALLER;375;N
01;31/07/2000;000244;REVISION FUGA AGUA CULATA;33;N
01;02/08/2000;000245;REPARACION AIRE ACONDICIONADO;1110;N
01;03/08/2000;000246;REPARACION DE CABLES DE VIBRO;54;N
03;28/06/2000;000225;MATERIAL FUERA DE PRESUPUESTO;289;N
01;07/08/2000;000247;CAMBIO GENERAL DE FILTROS Y ACEITES;9;N
04;15/06/2000;000217;REPARACION DE PALANCA DE CAMBIOS;343;N
01;02/08/2000;000248;REPARACION CORTOCIRCUITO ELECTRICO DE AIRE ACONDICIONADO;253;N
01;04/08/2000;000249;REPARACION REFRIGERADOR DE AIRE ACONDICONADO;50;N
02;31/07/2000;000244;REPARACION PALA;33;N
09;14/07/2000;000236;TENSADO DE FRENOS;54;N
01;16/08/2000;000250;REPARACION DE MARTILLO;7;N
01;19/07/2000;000251;REVISION DE TRACTOR EN CANTERA;328;N
02;19/07/2000;000251;REPARACION EN TALLER;328;N
01;17/08/2000;000253;REPARACION AIRE ACONDICIONADO;253;N
01;17/08/2000;000254;REPARACION DE MARTILLO;165;N
01;16/08/2000;000255;REPARACION DE TRANSMISION;80;N
01;16/08/2000;000256;REPARACION DE BOMBA;0;N
02;03/08/2000;000246;SUSTITUCION DE MOTOR TRASLACION;54;N
01;17/08/2000;000257;REPARACION DE TRANSMISION PARA REPUESTO;328;N
01;22/08/2000;000258;REPARACION DE CULATINES DE MOTOR EN TALLER;275;N
01;22/08/2000;000259;REVISION FUGA RADIADOR;7;N
01;23/08/2000;000260;REPARACION DE DIFERENCIAL;387;N
01;21/08/2000;000261;REPARACION DE MARTILLO EN TALLER;387;N
02;22/08/2000;000258;MONTAJE DE CULATINES EN FINCA;275;N
01;25/08/2000;000262;REPARACION DE CADENAS;253;N
01;23/08/2000;000263;COLOCACION DE TOBERAS Y TERMOSTATO;146;N
01;31/08/2000;000264;REPARACION DE DISTRIBUIDOR Y TUBOS HIDRAULICOS;54;N
01;16/08/2000;000265;REPARACION HIDRAULICA;1;N
02;16/08/2000;000265;REAPACION EN TALLER;1;N
01;04/09/2000;000266;REPARACION DE MARTILLO;7;N
01;05/09/2000;000267;REPARACION DE TUBO HIDRAULICO;253;N
02;23/08/2000;000263;COLOCACION DE CALENTADORES , RELOJES , LLAVE DE CALENTAR Y ARRANQUE ;146;N
01;06/09/2000;000268;COMPROBACION DE PRESION DE ACEITE MOTOR;7;N
01;31/08/2000;000269;REPARACION DE AGUILON;4;N
02;31/08/2000;000269;REPARACION DE PALA;4;N
03;31/08/2000;000269;REPARACION DE MOTOR ;4;N
04;29/08/2000;000269;REPARACION DE TRANSMISION;4;N
05;29/08/2000;000269;REPARACION DE RADIADOR;4;N
01;06/09/2000;000270;REPARACION DE SOPORTE;7;N
10;14/07/2000;000236;QUITAR SALIDERO DE ACEITE POR BOTELLA DE ELEVACION;54;N
01;05/09/2000;000271;COMPROBACION DE TEMPERATURA DEL AIRE ACONDICIONADO;253;N
02;23/08/2000;000260;REPARACION FRENOS;387;N
01;05/09/2000;000273;REPARACION DE CULATA;7;N
02;05/09/2000;000273;REPARACION EN TALLER;7;N
01;08/09/2000;000274;REPARACION DE VALVULA;126;N
01;11/09/2000;000275;QUITAR TRANSMISION DE MAQUINA Y COLOCARLA REPARADA;328;N
02;11/09/2000;000275;REPARACION DE TRANSMISION Y MOTOR EN TALLER;328;N
01;11/09/2000;000276;DESMONTAR RADIADOR, BOMBA HIDRAULICA PRINCIPAL, ALTERNADOR PARA REPARAR EN TALLER;253;N
02;11/09/2000;000276;REPARAR EN TALLER RADIADOR;253;N
01;11/09/2000;000277;REPARACION DE BOMBA DE MANIOBRA;253;N
01;12/09/2000;000278;SACAR MOTOR DE MAQUINA;328;N
02;21/08/2000;000261;REVISION EN CANTERA;387;N
01;25/08/2000;000279;REVISION CONJUNTO FILTRO HIDRAULICO;7;N
01;28/08/2000;000280;REVISION DE MOTOR E HIDRAULICOS;7;N
03;16/08/2000;000265;REPARACION DE EMBOLOS;1;N
02;11/09/2000;000277;SUSTITUCION DE ALTERNADOR;253;N
03;11/09/2000;000277;ADAPTACION DE TEJA DE CADENA;253;N
01;13/09/2000;000281;REVISION DE TRANSMISION;390;N
03;11/09/2000;000276;REPARAR BOMBA HIDRAULICO PRINCIPAL EN TALLER;253;N
04;11/09/2000;000276;REPARACION DE ALTERNADOR;253;N
01;14/09/2000;000282;REPARACION DE BOMBA DE MANIOBRA PARA DEJAR EN ALMACEN;253;N
01;19/09/2000;000283;PUESTA A PUNTO DE MOTOR;34;N
01;19/09/2000;000284;DESMONTAR VALVULAS PARA SU REPARACION;28;N
02;19/09/2000;000284;REPARACION DE VALVULAS EN TALLER;28;N
01;19/09/2000;000285;DESPLAZAMIENTO A REVISION;26;N
02;19/09/2000;000285;REPARACION DE TRANSMISION EN TALLER;26;N
01;20/09/2000;000286;REPARACION BOMBA DE DIRECCION;1;N
01;20/09/2000;000287;REPARACION PERDIDA ACEITE BOMBA HIDR. PRINCIPAL Y VALVULA DE PEDALL FRENOS;33;N
01;21/09/2000;000288;REPARACION DE TRANSMISION;328;N
01;22/09/2000;000289;REVISION DE MAQUINA;328;N
01;25/09/2000;000290;REVISION DE PASO DE ACEITE A RADIADOR DE AGUA;9;N
01;25/09/2000;000291;REVISION DE MAQUINA POR PERDIDA DE ACEITE;29;N
01;25/09/2000;000293;REPARACION DE MAQUINA POR FUGA DE AGUA;33;N
01;25/09/2000;000294;REPARACION DE BOMBA;56;N
01;27/09/2000;000295;SUSTITUCION GENERAL DE FILTROS Y ACEITES;50;N
02;22/09/2000;000289;REPARACION DE VALVULA MODULADORA;328;N
02;12/09/2000;000278;REPARACION DE MOTOR EN TALLER;328;N
01;27/09/2000;000296;SUSTITUCION DE EMPAQUETADRAS DE EMBOLOS HIDRAULICOS;54;N
02;27/09/2000;000296;REPARACION DE FRENOS;54;N
03;27/09/2000;000296;REVISION DE FUGA DE ACEITE DE MOTOR;54;N
01;27/09/2000;000297;REPARACION DE TUBO DE ESCAPE;54;N
01;27/09/2000;000298;REPARACION TUBO HIDRAULICO BOTELLA PALA;7;N
01;27/09/2000;000299;COLOCACION DE BELLOTA PRESION DE ACEITE;7;N
01;27/09/2000;000300;REPARACION DE REDUCTOR, Y CAMBIO DE ACEITE DE MOTOR;33;N
01;28/09/2000;000301;REPARACION DE MARTILLO;357;N
01;28/09/2000;000302;REPARAR PERDIDA DE ACEITE;1;N
01;27/09/2000;000303;SUSTITUCION DE BATERIAS Y REPARACION DE ALTERNADOR;50;N
01;02/10/2000;000304;REPARACION DE CILINDRO;1015;N
01;29/09/2000;000305;SUSTITUCION DE MOTORES DE REFRIGERACION;253;N
01;02/10/2000;000306;SUSTITUCION DE TUBERIAS HIDRAULICAS QUEMADAS;253;N
01;29/09/2000;000307;REPARACION DE MARTILLO;151;N
06;29/08/2000;000269;ELECTRICIDAD;4;N
01;22/09/2000;000308;REVISION DE PRESIONES HIDRAULICAS DE MARTILLO;7;N
01;28/09/2000;000309;REPARACION DE CONTROL ELECTRONICO DE PARADA;2;N
02;30/11/1999;000366;COLOCACION DE TACOS DE CABINA;289;N
01;04/10/2000;000310;COLOCACION DE MONOCONTACTO DE TEMP. DE TRANSMISION E INDICADOR;289;N
01;03/10/2000;000311;REPARACION DE BOMBIN ALIMENTADOR;146;N
01;03/10/2000;000312;REPARACION DE BOMBA INYECTORA;146;N
01;04/10/2000;000313;REP'ARACION DE SILENCIOSO DE ESCAPE;387;N
01;09/10/2000;000314;REVISION DE ALTERNADOR;253;N
11;14/07/2000;000236;REPARCION DE MOZO Y VALVULA DE PULMONES DE FIJADOR DE CARRO;54;N
07;29/08/2000;000269;CAMBIO GENERAL DE FILTROS Y ACEITE;4;N
01;10/10/2000;000315;MECANIZADO AGUILON;7;N
01;10/10/2000;000316;ABONO DE PORTES;7;N
01;04/10/2000;000317;REPARACION DE TORNO;25;N
02;09/10/2000;000314;REPARACION DE INSTALACION LLAVE ARRANQUE;253;N
01;11/10/2000;000318;SUSTITUSION DE ENGANCHE DE CADENA;253;N
01;11/10/2000;000319;REPARCION DE VENTOSAS;231;N
01;13/10/2000;000320;REPARACION DE RADIADOR POR FUGA DE AGUA;9;N
01;13/10/2000;000321;REPARACION DE TUBO HIDRAULICO;141;N
01;13/10/2000;000322;REPARACION DE MOTORES DE TRASLACION DE MAQUINA;387;N
02;13/10/2000;000322;REPARACION DE RUEDAS DE GUIAS ,RODILLOS Y TENSOR CADENA;387;N
03;13/10/2000;000322;COLOCACIO DE CASQUILLO Y TUBERIAS DE PLUMIN;387;N
04;13/10/2000;000322;QUITAR SALIDEROS DE ACEITE MARTILLO Y REPARACION DE PETACAS;387;N
05;13/10/2000;000322;REPARACION DE REDUCTOR DE GIRO DE MAQUINA;387;N
08;29/08/2000;000269;REPARAR FRENOS;4;N
01;13/10/2000;000323;REPARACION DE MOTOR DE ARRANQUE;253;N
01;11/10/2000;000324;REPARACION DE FAROS DELANTERO Y BOCINA;50;N
01;09/10/2000;000325;REPARACION DE SISTEMA ELECTRICO;7;N
01;17/10/2000;000326;REPARACION DE FRENOS;50;N
01;17/10/2000;000327;COLOCACION DE RETEN Y POLEA;34;N
01;17/10/2000;000328;REVISION MAQUINA;328;N
01;18/10/2000;000329;REPARACION DE HORMIGONERA;54;N
01;18/10/2000;000330;REPARACION DE MAQUINA;310;N
01;17/10/2000;000331;REPARACION FUGA DE AGUA;253;N
01;18/10/2000;000332;REPARACION FUGA DE AGUA POR CULATA;33;N
02;17/10/2000;000331;REPARACION DE TERMOSTATOS EN TALLER;253;N
01;20/10/2000;000333;REVISION DE MAQUINA;9;N
01;20/10/2000;000334;REPARACION AVERIA DE CUADRO;1088;N
01;23/10/2000;000335;REVISION DE MAQUINA;33;N
01;23/10/2000;000336;REPARACION DE AGUILON;50;N
01;23/10/2000;000337;REPARACION DE CERRADURA;50;N
09;29/08/2000;000269;REPARACION DE OLVITROL;4;N
10;29/08/2000;000269;SUSTITUCION TUBOS HIDRAULICOS ;4;N
11;29/08/2000;000269;REPUESTOS NO PRESUPUESTADOS EN EL AGUILON, MOTOR, TRANSMISION Y RADIADOR;4;N
01;26/10/2000;000338;FUGA LIQUIDO FRENOS POR RUEDA;50;N
01;27/10/2000;000339;COLOCACION DE TORNILLOS A TRANSMISION;126;N
01;26/10/2000;000340;REPARACION CIRCUITO ELECTRONICO DE ELECTROVALVULA;1;N
01;30/10/2000;000341;REPARACION DE MAQUINA;390;N
01;02/11/2000;000343;LIMPIEZA DE CIRCUITO DEGASOIL;33;N
01;03/11/2000;000344;REPARACION DE COMPRESOR;9;N
02;03/11/2000;000344;REPARACION EN TALLER;9;N
01;02/11/2000;000345;REPARACION DE LLANTA;8;N
01;04/11/2000;000346;REPARACION DE GRUPO;387;N
01;06/11/2000;000347;COLOCACION DE MONOCONTACTO;33;N
01;08/11/2000;000348;REPARACION DE MARTILLO EN TALLER;7;N
02;09/02/2000;000056;REPARACION EN TALLER;328;N
01;08/11/2000;000349;AVERIA DE LED EN CUADRO DE MANDOS;253;N
01;03/11/2000;000351;REPARACION DE MOTOR;328;N
01;10/11/2000;000354;PERDIDA DE AGUA POR PRECAMARA;34;N
01;10/11/2000;000355;PERDIDA DE ACEITE POR REDUCTOR;33;N
01;08/11/2000;000356;REPARACION DE MAZA DE FRENO ;1;N
01;10/11/2000;000358;REPARACION POR TEMPERATURA EXCESIVA DE CONVERTIDOR;41;N
01;13/11/2000;000359;REPARACION DE MARTILLO;1;N
02;10/11/2000;000358;REPARACION DE VALVULA EN TALLER;41;N
01;13/11/2000;000360;ARRANQUE DE MOLINO;70;N
01;13/11/2000;000361;FUGA POR TURBO;33;N
01;15/11/2000;000362;SACAR CONVERTIDOR PARA REPARAR EN TALLER;43;N
02;15/11/2000;000362;REPARACION EN TALLER;43;N
01;16/11/2000;000363;REPARACION DE BOMBA DE AGUA;99998;N
01;16/11/2000;000364;REPARACION DE CULATA;99998;N
01;16/11/2000;000365;REVISION DE MOTOR;52;N
02;16/11/2000;000365;REPARACION EN TALLER;52;N
01;20/11/2000;000366;SACAR TRANSMISIONN PARA SU REPARACION EN TALLER;50;N
03;19/09/2000;000285;REPARACION ELECTRICA;26;N
01;22/11/2000;000368;SUSTITUCION DE TUBO HIDRAULICO;7;N
01;21/11/2000;000369;REPARACION DE CUERPO BOMBA Y ACOPLACION DE SIN FIN;61;N
01;20/11/2000;000370;SUSTITUCION DE BATERIAS;253;N
01;21/11/2000;000371;REVISION Y REPARACION DE CALENTAMIENTO DEL GRUPO;253;N
01;17/11/2000;000372;SUSTITUCION DE BATERIAS Y REVISION DE LUCES;50;N
01;21/11/2000;000374;REVISION DE MAQUINA ;328;N
01;02/11/2000;000375;SUSTITUCION DE BATERIA Y MOTOR DE ARRANQUE;50;N
02;02/11/2000;000375;REPARACION DE MOTOR DE ARRANQUE EN TALLER;50;N
01;22/11/2000;000376;REVISION DE MAQUINA PARA SU REPARACION;28;N
01;23/11/2000;000377;COMPROBACION DE COMPRESION;390;N
01;24/11/2000;000378;REPARACION EMBOLOS DE ELEVACION;801;N
01;28/11/2000;000380;REPARACION DE ACUMULADOR;387;N
02;21/11/2000;000371;REPARAR EN TALLER  RADIADOR, CULATAS, ENFRIADOR, BOMBA AGUA,VENTILADOR;253;N
01;30/11/2000;000381;REPARACION TOMA FUERZA DE BOMBA HIDRAULICA;48;N
01;01/12/2000;000382;REPARACION AVERIA ELECTRICA;253;N
01;04/12/2000;000383;REPARACION;50;N
01;11/12/2000;000384;REPARACION FUGA DE AGUA POR CULATA;33;N
01;30/11/2000;000385;REPARACION DE AVERIA ELECTRICA;26;N
01;05/12/2000;000386;REPARACION DE FINAL DE CARRERA Y LUCES;50;N
02;23/06/2000;000229;REPARACION EN TALLER;413;N
01;20/11/2000;000387;REVISION DE MAQUINA;62;N
02;20/11/2000;000387;REPARACION EN TALLER;62;N
01;19/12/2000;000388;REPARACION DE TUBOS DE CALEFACCION;50;N
01;22/11/2000;000389;REPARACION INSTALACION ELECTRICA COMPLETA;50;N
02;22/11/2000;000389;REPARACION EN TALLER;50;N
01;22/11/2000;000390;REPARACION EN TALLER DE ENFRIADOR DE CONVERTIDOR, SOPORTE VENTILADOR Y DE BOMBA INYECTORA;50;N
01;20/11/2000;000391;REPARACION DE TRANSMISION, CONVERTIDOR Y CAJA TRANSFER EN TALLER;50;N
01;20/12/2000;000392;AVERIA EN CULATA;253;N
01;21/12/2000;000393;REVISION DE TRANSMISION;390;N
02;21/12/2000;000393;REPARACION EN TALLER;390;N
01;21/12/2000;000394;COLOCACION DE ANTIDESGASTES DE PALA;7;N
01;22/12/2000;000395;REPARACION DE CAÑONERA DE RUEDA;33;N
01;22/12/2000;000396;REPARACION DE FRENOS;141;N
02;22/12/2000;000396;REPARACION DE FRENOS EN TALLER;141;N
01;26/12/2000;000397;SUSTITUCION DE CARGADOR DE BATERIA;253;N
01;27/12/2000;000398;REPARACION DE CALENTADOR DE MOTOR;253;N
01;29/12/2000;000399;REPARACION DE PRECAMARA;310;N
01;28/12/2000;000400;REPARACION DE ESCAPE;7;N
02;28/12/2000;000400;REPARACION DE COLECTOR EN TALLER;7;N
03;28/12/2000;000400;REPARACION DE RIPPER EN TALLER;7;N
01;01/01/2001;000001;MANTENIMIENTO TALLER;99999;N
02;01/01/2001;000001;HORAS SIN IMPUTACION;99999;N
03;01/01/2001;000001;DIAS TOMADOS Y FALTAS POR ENFERMEDAD;99999;N
01;03/01/2001;000002;REPARACIO DE FORMADORA;260;N
01;24/11/2000;000401;SUSTITUCION DE RETEN Y JUNTA;1;N
01;30/11/2000;000402;REPARACION CIRCUITO HIDRAULICO DE MARTILLO;1;N
01;11/12/2000;000403;REVISION DE MARTILLO;387;N
01;29/12/2000;000404;REVISION GENERAL;50;N
01;18/12/2000;000405;REVISION DE MAQUINA;328;N
02;18/12/2000;000405;REPARACION DE TRANSMISION EN TALLER;328;N
01;08/01/2001;000003;COLOCACION DE TUBO HIDRAULICO;54;N
01;08/01/2001;000004;REPARACION DE TUBO HIDRAULICO Y ENCHUFE RAPIDO;48;N
01;05/01/2001;000005;ACOPLACION DE LLAVE DE CONTACTO;50;N
01;08/01/2001;000006;REPARCION DE REFINADOR;1015;N
01;09/01/2001;000007;REPARACION DE RUEDAS DE GIRO;804;N
01;10/10/2001;000008;REPARACION DE LLANTA;387;N
01;10/01/2001;000009;SUSTITUCION DE GOMA DE INYECTOR POR PERDIDA DE GAOIL;33;N
02;22/12/2000;000395;REPARACION EN TALLER;33;N
01;09/01/2001;000010;REVISION DE MAQUINA PARA ACOPLACION DE INSTALAICON DE MARTILLO;18;N
01;13/11/2000;000406;REPARACION PUERTA AUTOMATICA;0;N
01;11/01/2001;000011;CONSTRUCCION TAPAS RADIADOR;1014;N
01;11/01/2001;000012;REPARACION DE CULATA, DIRCCION Y RUEDA DELANTERA;50;N
02;11/01/2001;000012;REPARACION EN TALLER;50;N
01;30/11/2000;000407;REPARACION DE GRUPO POR CALENTAMIENTO;253;N
01;09/01/2001;000013;REPARACION AIRE ACONDICIONADO;253;N
01;11/01/2001;000014;REPARACION DE PINZA;54;N
01;13/01/2001;000015;SUSTITUCION DE TUBO HIDRAULICO DE CILINDRO;50;N
01;15/01/2001;000016;REPARACION DE BOMBIN DE FRENOS;141;N
01;15/01/2001;000017;CONSTRUCCION DE SUPLEMENTOS DE PALA;4;N
01;17/01/2001;000020;CAMBIAR CORREAS VENTILADOR;310;N
01;17/01/2001;000021;REVISION DE FUGA ACEITE TRANSMISION;33;N
01;17/01/2001;000022;REPARACION DE CUCHARON;387;N
02;17/01/2001;000020;REPARACION DE CULATA EN TALLER;310;N
01;11/02/2001;000023;REVISION DE TRASMISION;328;N
01;17/01/2001;000024;REVISION DE MARTILLO;165;N
02;17/01/2001;000024;REPARACION EN TALLER;165;N
01;15/01/2001;000025;COMPROBACION DE SISTEMA HIDRAULICO;57;N
01;19/01/2001;000026;DESMONTAR PORTADIENTE Y COLOCACION DE NUEVO;387;N
01;11/01/2001;000023;REVISION DE TRANSMISION;328;N
02;11/01/2001;000023;REPARACION EN TALLER;328;N
01;19/01/2001;000027;REPARACION DE BOTELLA;387;N
01;19/01/2001;000028;COMPROBACION DE INSTALACION HIDRAULICA DE MARTILLO;387;N
01;19/01/2001;000029;REVISION DE CARROS;28;N
02;17/01/2001;000021;REPARACION EN TALLER;33;N
04;01/01/2001;000001;PORTES ALMACEN;99999;N
01;19/01/2001;000030;REPARACION DE SALIDEROS DE ACEITE DE MOTOR;387;N
02;19/01/2001;000030;REPARACION DE TRANSMISION;387;N
01;22/01/2001;000031;REPARACION POR AGUA EN CARTE;62;N
02;22/01/2001;000031;REPARACION DE EMBOLOS DE PLUMA;62;N
03;22/01/2001;000031;REVISION DE EFECTO PIVOTE;62;N
01;23/01/2001;000032;REPARACION DE CILINDRO;395;N
01;24/01/2001;000033;REPARACION DE BOTELLA DE ELEVACION;387;N
01;24/01/2001;000034;REPARACION DE MARTILLO;33;N
01;25/01/2001;000035;REVISION DE CARRETILLA;9;N
01;26/01/2001;000036;REPARACION DE CARCASA;387;N
01;26/01/2001;000037;REPARACION DE MARTILLO;387;N
01;29/01/2001;000038;REPARACION DE CONTROL HIDRAULICO DETRASLACION DE GIRO;328;N
01;30/01/2001;000039;QUITAR SALIDERO DE ACEITE , COLOCACION DE TORNILLOS A ABRAZADERAS DE TUBO ;48;N
02;25/01/2001;000035;REPARACION EN TALLER;9;N
02;29/01/2001;000038;REPARACION EN TALLER;328;N
03;25/01/2001;000035;CAMBIO DE FILTROS Y ACEITES;9;N
01;02/02/2001;000040;REPARACION DE RUEDA DIRECCION;50;N
02;02/02/2001;000040;REPARACION EN TALLER;50;N
01;01/02/2001;000041;REPARACION DE SALIDEROS DE MAQUINA;62;N
03;19/01/2001;000030;REPARACION DE FRENOS.;387;N
01;26/01/2001;000042;REVISION Y SUSTITUSION DE BULON;50;N
01;05/02/2001;000043;REPARACION DE RIPPER EN TALLER;7;N
01;02/02/2001;000044;REPARACION DE VALVULA DE CONTROL DE BULDOZER;7;N
01;05/02/2001;000045;REPARACION DE BOTELLA HIDRAULICA;387;N
01;05/02/2001;000046;REPARACION DE CORTOCIRCUITO;50;N
01;05/02/2001;000047;REVISION DE FUGA DE AGUA POR CILINDROS;7;N
01;06/02/2001;000048;REPARACION DE BOMBA HIDRAULICA;48;N
01;07/02/2001;000049;ACOPLACION DE SOMBRERO DE MARTILLO Y TUBERIAS;0;N
01;08/02/2001;000050;REPARACION DE BOMBAS HIDRAULICAS;76;N
01;08/02/2001;000051;REPARACION DE TAPA DE BOMBA PRINCIPAL;29;N
02;05/02/2001;000047;REPARACION EN TALLER;7;N
01;08/02/2001;000052;REVISION DE BOMBAS;387;N
02;07/02/2001;000049;PUESTA EN FUNCIONAMIENTO DE MARTILLO;0;N
01;12/02/2001;000053;REVISION DE MOTOR;51;N
02;12/02/2001;000053;REPARACION MOTOR EN TALLER;51;N
01;13/02/2001;000054;REVISION DE MAQUINA;33;N
02;13/02/2001;000054;REPARACION EN TALLER;33;N
01;14/02/2001;000055;REPARACION DE DIRECCION;804;N
01;13/02/2001;000056;FUGA DE ACEITE EN TACO DE TRANSMISION;26;N
01;14/02/2001;000057;REPARACION DE PORTALON BASCULANTE;73;N
01;12/02/2001;000058;REPARACION DE RIPPER;7;N
01;15/02/2001;000059;REVISION DE BOMBA DE TRASFERENCIA;29;N
01;19/02/2001;000060;REVISION DE FRENO MANO;9;N
01;19/02/2001;000061;REVISION DE CARRETILLA;67;N
02;19/02/2001;000061;REPARACION DE TRANSMISION EN TALLER;67;N
01;14/02/2001;000062;SACAR DE MAQUINA, TRANSMISION, BOTELLA Y CARDAN, REPARAR EN TALLER Y MONTAR;817;N
01;19/02/2001;000063;REVISION DE MAQUINA;7;N
02;19/02/2001;000063;REPARACION EN TALLER;7;N
01;20/02/2001;000064;REPARACION DE CULATINES;828;N
02;20/02/2001;000064;REPARACION EN TALLER DE CULATINES;828;N
05;01/01/2001;000001;FURGONETA Nº1;99999;N
06;01/01/2001;000001;FURGONETA Nº2;99999;N
07;01/01/2001;000001;FURGONETA Nº3;99999;N
01;23/02/2001;000067;SUSTITUCION DE LATIGUILLOS HIDRAULICOS;50;N
01;23/02/2001;000068;REPARACION DE ACUMULADOR;387;N
01;26/02/2001;000069;REPARACION DE TUBO HIDRAULICO;7;N
01;26/02/2001;000070;REPARACION DE TUBO HDRAULICO DE PLUMA ;54;N
01;26/02/2001;000071;FUGA DE GAS-OIL AL CARTE;51;N
01;26/02/2001;000072;COMPROBACION DE SISTEMA HIDRAULICO;51;N
01;26/02/2001;000073;REVISION DE MOTOR PARA REPARAR EN TALLER Y MONTAJE EN MAQUINA;328;N
01;23/02/2001;000074;TORNILLOS DE SOPORTE DE CARROS PARTIDOS;387;N
03;23/06/2000;000229;REPARACION DE BOMBA INYECTORA;413;N
01;22/02/2001;000075;DESPLAZAMIENTO A REVISAR MAQUINA Y MONTAR CULATAS;71;N
01;25/01/2001;000076;ALQUILER DE CARRETILLA  PARA REPARACION DE LA CAT V-60;9;N
01;01/03/2001;000077;REPARACION DE BOTELLA ELEVACION DE PALA;151;N
01;02/03/2001;000078;REPARACION DE COGIDA DE BALANCIN;54;N
04;19/01/2001;000030;REPARACION ELECTRICA;387;N
02;26/02/2001;000073;REPARACION DE MOTOR EN TALLER;328;N
02;23/02/2001;000074;REPARACION INYECCION;387;N
01;27/02/2001;000079;REVISION DE VIBRADOR PARA ACOPLACION DE MOTOR;328;N
02;27/02/2001;000079;ACOPLACION DE MOTOR EN TALLER;328;N
01;07/03/2001;000080;SUSTITUCION DE EMPAQUETADURAS DE BOTELLAS DE DIRECCION;29;N
01;07/03/2001;000081;REPARACION FRENOS;29;N
01;07/03/2001;000082;REVISION DE MOTOR;146;N
02;07/03/2001;000082;REPARACION DE MOTOR EN TALLER;146;N
01;02/03/2001;000083;SUSTITUCION DE MOTOR DE LIMPIAPARABRISAS Y REPARACION DE LUCES;50;N
01;07/03/2001;000084;REVISION DE BOMBA AGUA CAMION;1;N
01;06/03/2001;000085;REPACION DE CALDERA Y CORREGIR SALIDEROS DE AGUA;1;N
01;08/03/2001;000086;REPARACION DE LAMPARAS DE FAROS;50;N
03;12/02/2001;000053;REPARACION DE REGULADOR, BOMBA DE TRANSFERENCIA Y CORRECTOR HUMO;51;N
02;02/03/2001;000078;REPARACION DE BOTELLA DE PALA;54;N
03;02/03/2001;000078;REPARACION DE BOTELLA DE MOZO;54;N
04;12/02/2001;000053;REPARACION ELECTRICA;51;N
01;16/03/2001;000087;SUSTITUIR PRECAMARAS, ESPARRAGOS DE ESCAPE Y CORREGIR SALIDEROS DE GASOIL;55;N
02;07/03/2001;000084;REPARACION DE BOMBA EN TALLER;1;N
01;15/03/2001;000088;REVISION;328;N
01;19/03/2001;000090;REPARACION DE PISTON DE PALA;54;N
01;19/03/2001;000091;REVISION Y DESMONTAR PARA TRASLADAR AL TALLER;50;N
02;19/03/2001;000091;REPARACION EN TALLER;50;N
01;21/03/2001;000092;REPARACION DE SOLENOIDE DE VALVULA HIDRAULICA;10;N
02;15/03/2001;000087;DESMONTAJE Y MONTAJE GENERAL;55;N
01;26/03/2001;000093;REPARACION DE CONVERTIDOR Y BOMBAS DEL MISMO. REVISION DE BOMBA DE BARRIDO;69;N
01;19/03/2001;000094;AJUSTAR TORNILLOS DE ACUMULADOR;1;N
01;26/03/2001;000095;PASO DE COMPRESION DE MOTOR A RADIADOR;9;N
01;23/03/2001;000096;TRASLADO DE MOLINO DE ALGONALES A ARCOS DE LA FRONTERA;807;N
03;15/03/2001;000087;REPARACION DE MOTOR;55;N
04;15/03/2001;000087;LIMPIEZA DE RADIADOR;55;N
05;15/03/2001;000087;REPARACION DE BOMBA HIDRAULICA;55;N
06;15/03/2001;000087;REVISION DE SERVO Y CONVERTIDOR;55;N
07;15/03/2001;000087;ACOPLACION DE TIC;55;N
08;15/03/2001;000087;REPARACION DE BOTELLA DE RIPPER Y PALA;55;N
09;15/03/2001;000087;CHAPAS PROTECCION MOTOR, BALLESTA Y CARROS;55;N
