DOCFEC;DOCSER;DOCNUM;CODTER;DTOCAB;FORPAG;BASEBAS;IMPTBAS;RECBAS;FECORD;NUMORD;CODMAQ;FECENT;OBSERV;MARCAD;PORTES;PORFIN;RFDPP;ALBSER;ALBNUM;DESHOR;PREHOR;NUMKM;PREKM;DIETENT
19/04/2010;11;000064;344;0;45;1643,75;263;0;;;L 220 E TORR;;NO SE CAMBIA F. HIDRAULICO NI ACEITE HIDRAULICO
NO SE CAMBIA F. TRANSMISION NI ACEIRTE TRANSMISION;;0;0;0;;;1;198;0;0;15
19/04/2010;11;000065;1091;0;53;12150,45;1944,07;0;;;WA500-3 Nº 329;;ESTE PRESUPUESTO ES APROXIMADO , SI EN EL CURSO DE LA REPARACION APARECIERA PIEZAS DEFECTUOSAS SE PASARIA PRESUPUESTO.EN ESTE PRESUPUESTO NO ESTA INCLUIDO: MOTOR ARRANQUE , ALTERNADOR , TURBO , BOMBA INYECCION , SENSORES . ;;0;0;0;;;0;0;0;0;0
20/04/2010;11;000066;1091;0;53;158,1;25,3;0;;;;;PRESUPUESTO DE BATERIAS 100 AMPERIOS;;0;0;0;;;0;0;0;0;0
20/04/2010;11;000067;1171;0;0;1442,72;230,84;0;;;;;SOLO HAY UN PISTON Y UNA CAMISA RESTO MATERIAL EN  MADRID;;0;0;0;;;0;0;0;0;0
20/04/2010;11;000068;1177;0;3;109,64;17,54;0;;;;;VARIOS MOTOR GENERADOR ;;5;0;0;;;0;0;0;0;0
20/04/2010;11;000069;00;0;0;916,27;146,6;0;;;WB93R-2;;;;0;0;0;;;0;0;0;0;0
21/04/2010;11;000070;0;0;0;3101,07;496,17;0;;;WA 480-5;;PLAZO DE ENTREGA 3 DIAS ESTA EN BRUCELAS;;0;0;0;;;0;0;0;0;0
22/04/2010;11;000071;846;0;11;525;84;0;;;;;TRANSFERENCIA DIAGNOSIS AVERIA VOLVO L460BLC;;0;0;0;;;1;254;0;0;15
22/04/2010;11;000072;931;0;13;223,49;35,76;0;;;IT 28 GL;;;;0;0;0;;;0;0;0;0;0
26/04/2010;11;000073;1114;0;48;644,49;103,12;0;;;BOMAG BC 771 RS;;;;0;0;0;;;1;141;0;0;0
28/04/2010;13;000008;00;0;0;114,48;18,32;0;;;;;;;0;0;0;;;0;0;0;0;0
29/04/2010;13;000009;1091;0;53;266,69;42,67;0;;;HD 465-5 Nº0423;;A/A JAVIER CARMONA;;0;0;0;;;0;0;0;0;0
29/04/2010;13;000010;1097;0;45;129,51;20,72;0;;;WA 500 Nº 0306;;A/A JAVIER CARMONA;;0;0;0;;;0;0;0;0;0
29/04/2010;13;000011;00;0;0;1292,94;206,87;0;;;;;PLAZO DE ENTREGA 3/4 DIAS. TURBO INTERCAMBIO;;0;0;0;;;0;0;0;0;0
03/05/2010;13;000012;1114;0;48;3157;505,12;0;;;WA380-3H;;EL PLAZO DE AMBOS MOTORES ES DE 3/4 DIAS (BRUSELAS)
EL DE INTERCAMBIO LLEVARIA UN 15% DE DESCUENTO SIEMPRE Y CUANDO EL MOTOR VIEJO CUMPLIERA LOS REQUISITOS NECESARIOS QUE SOLICITA KESA
;;0;0;0;;;0;0;0;0;0
04/05/2010;11;000074;1091;0;53;3156;504,96;0;;;PC 1100 Nº 0207;;ESTE PRESUPUESTO ES APROXIMADO , TIENE UNA VALIDEZ 15 DIAS, MANDAR FIRMADO Y SELLADO;;0;0;0;;;0;0;3;180;96
04/05/2010;13;000013;1051;0;3;356;56,96;0;;;;;;;0;0;0;;;0;0;0;0;0
04/05/2010;13;000014;9;0;45;4544,44;727,11;0;;;CAT 972 G II;;AL NO DISPONER DEL Nº DE SERIE DE LA TRANSMISION NI SU ARR., EL KIT DE JUNTAS QUE SE OFERTA ES EL QUE ESTIMAMOS LE PERTENECE.;;0;0;0;;;0;0;0;0;0
04/05/2010;13;000015;9;0;45;3751,37;600,22;0;;;CAT 972 G II;;AL NO DISPONER DEL Nº DE SERIE DE LA TRANSMISION NI SU ARR., EL KIT DE JUNTAS QUE SE OFERTA ES EL QUE ESTIMAMOS LE PERTENECE.;;0;0;0;;;0;0;0;0;0
05/05/2010;13;000016;1091;0;53;551,65;52,69;0;;;HD 465-5 Nº0415;;PIEZAS EN MADRID;;0;0;0;;;0;0;0;0;0
05/05/2010;13;000017;1091;0;53;222,51;35,6;0;;;HD 465-5 Nº0415;;;;0;0;0;;;0;0;0;0;0
05/05/2010;13;000018;960;0;41;826,83;132,29;0;;;;;MATERIAL ORIGINAL. PLAZO DE ENTREGA 12/14 DIAS.;;0;0;0;;;0;0;0;0;0
05/05/2010;13;000019;845;0;11;863,47;138,16;0;;;;;PLAZO DE ENTREGA 12/14 DIAS;;0;0;0;;;0;0;0;0;0
05/05/2010;11;000075;343;0;45;763,2;122,11;0;;;L 70 D;;;;0;0;0;;;0;0;1;76,5;0
06/05/2010;11;000076;1091;0;53;280,48;44,88;0;;;PC 1100 Nº 0215;;;;0;0;0;;;0;0;0;0;0
07/05/2010;13;000020;837;0;45;4015,7;642,51;0;;;CAT 936 F;;;;0;0;0;;;0;0;0;0;0
10/05/2010;13;000021;1155;0;0;658,05;105,29;0;;;PC340 NLC-6K;;PLAZO 2 DIAS;;0;0;0;;;0;0;0;0;0
10/05/2010;13;000022;837;0;45;660;105,6;0;;;CAT 936 F;;;;0;0;0;;;0;0;0;0;0
12/05/2010;13;000023;0;0;0;223,25;35,72;0;;;;;;;0;0;0;;;0;0;0;0;0
12/05/2010;11;000077;825;0;50;3437,57;550,01;0;;;PC U50-7K;;MOTOR DE ARRANQUE NUEVO 1 SEMANA O MAS, RECONSTRUIDO DE 3 A 4 DIAS. ESTE PRESUSPUESTO TIENE UNA VALIDEZ DE 15 DIAS Y SE RUEGA MANDEN FIRMADO Y SELLADO.;;0;0;0;;;0;0;0;0;0
12/05/2010;11;000078;5;0;98;314,28;50,28;0;;;;;;;0;0;0;;;0;0;0;0;0
12/05/2010;13;000024;1091;0;53;2885,35;461,66;0;;;HD 465-5 Nº0415;;VALIDEZ PRESUPUESTO 15 DIAS. PLAZO DE ENTREGA  2 O 3 DIAS. SE RUEGA  FIRMAR Y SELLAR A LA ACEPTACION DEL PRESUPUESTO. MATERIAL NO ORIGINAL
;;0;0;0;;;0;0;0;0;0
13/05/2010;13;000025;1091;0;53;986,4;157,82;0;;;PC 1100 Nº 0215;;;;0;0;0;;;0;0;0;0;0
13/05/2010;11;000079;0;0;0;823,09;131,69;0;;;;;PRESUPUESTO MODIFICADO: PLAZO DE 10 A 15 DÍAS. FORMA DE PAGO: TRANSFERENCIA DE   477 EUROS PARA REALIZAR EL PEDIDO, RESTO A LA RECEPCIÓN DEL MATERIAL.;;22;0;0;;;0;0;0;0;0
14/05/2010;13;000026;0;0;0;191,57;30,65;0;;;;;;;0;0;0;;;0;0;0;0;0
14/05/2010;13;000027;0;0;0;1799,9;287,98;0;;;;;;;0;0;0;;;0;0;0;0;0
17/05/2010;13;000028;1114;0;48;699,94;111,99;0;;;PC340NLC-7KEO;;;;0;0;0;;;0;0;0;0;0
19/05/2010;11;000080;253;0;3;673,7;107,79;0;;;;;PRESUPUESTO MATERIAL VARIO BOBCAT  MOD S130 S/REF.: 42310 SSG - PLAZO DE ENTREGA 3-4 DIAS;;0;0;0;;;0;0;0;0;0
19/05/2010;13;000029;846;0;3;4009,53;641,52;0;;;EC 460 B LC;;TRANSFERENCIA C.R. 3187-0806-96-2352751826;;0;0;0;;;2;254;0;0;0
17/05/2010;11;000081;344;0;45;839,11;134,26;0;;;L 220 E;;;;0;0;0;;;0;0;0;0;0
20/05/2010;11;000082;1091;0;53;21913,11;3506,1;0;;;PC 1100 Nº 0207;;ESTE PRESUPUESTO TENDRA UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A SU ACEPTACION. EL MATERIAL TIENE UN PLAZO DE 15 A 20 DIAS.;28123;0;0;0;;;0;0;0;0;0
24/05/2010;11;000083;253;0;3;179,89;28,78;0;;;;;PRESUPUESTO ALTERNADOR BOBCAT ORIGINAL - PLAZO DE ENTREGA 1 A 2 DÍAS;;0;0;0;;;0;0;0;0;0
24/05/2010;11;000084;253;0;3;240,36;38,46;0;;;;;PRESUPUESTO DE ALTERNADOR MATERIAL NO ORIGINAL - PLAZO DE 1 A 2 DÍAS;;0;0;0;;;0;0;0;0;0
25/05/2010;11;000085;413;0;3;356;56,96;0;;;;;Comprobacion fallo en WA470-3;;0;0;0;;;1;85;0;0;15
25/05/2010;11;000086;344;0;45;2279,91;364,79;0;;;WA 480;;;;0;0;0;;;0;0;0;0;0
25/05/2010;11;000087;344;0;45;1903,95;304,63;0;;;WA 480;;;;0;0;0;;;0;0;0;0;0
25/05/2010;11;000088;932;0;45;1187,29;189,97;0;;;L 70 E;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A LA ACEPTACION DEL PRESUPUESTO.
EL PLAZO DE MATERIAL ES DE 7 DIAS TRAS LA ACEPTACION DEL PRESUPUESTO. LA MANO DE OBRA ES APROX. ;;0;0;0;;;1;85;0;0;16
25/05/2010;11;000089;932;0;45;1959,8;313,57;0;;;L 70 E;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A LA ACEPTACION DEL PRESUPUESTO. ;;0;0;0;;;0;0;0;0;0
25/05/2010;11;000090;932;0;45;1333,9;213,42;0;;;L 70 E;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A LA ACEPTACION DEL MISMO. PLAZO DE LAS PIEZAS SON DE 10 DIAS DESDE LA ACEPTACION DE LAS PIEZAS. LAS HORAS DE LA MANO DE OBRA SON APROX.;;0;0;0;;;1;85;0;0;16
25/05/2010;11;000091;932;0;45;168,9;27,02;0;;;DP 30;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A LA ACEPTACION DEL MISMO. ;;0;0;0;;;0;0;0;0;0
26/05/2010;11;000092;253;0;3;235;37,6;0;;;;;PRESUPUESTO BATERIA BOBCAT ORIGINAL - PLAZO 1 / 2 DÍAS;;0;0;0;;;0;0;0;0;0
26/05/2010;11;000093;253;0;3;176;28,16;0;;;;;PRESUPUESTO DE BATERIA NO ORIGINAL - 1/2 DÍAS;;0;0;0;;;0;0;0;0;0
26/05/2010;13;000030;1198;0;0;660,45;105,67;0;;;;;PLAZO DE ENTREGA 5-7 DIAS;;0;0;0;;;1;85;0;0;0
26/05/2010;11;000094;9;0;45;179,32;28,69;0;;;CAT 972 G II;;;;0;0;0;;;0;0;0;0;0
27/05/2010;13;000031;1091;0;53;5833,89;933,42;0;;;HD 465-7 Nº0437;;DESCUENTO APROX. PLAZO DE ENTREGA 2 DIAS;;0;0;0;;;0;0;0;0;0
27/05/2010;13;000032;1091;0;53;4736,12;757,78;0;;;HD 465-7 Nº0437;;DESCUENTO APROX. SEGUN ESTADO DEL TURBO;;0;0;0;;;0;0;0;0;0
31/05/2010;13;000033;1159;0;48;3742,5;598,8;0;;;PC 340-7;;;;0;0;0;;;0;0;0;0;0
01/06/2010;11;000095;1072;0;49;1907,24;305,16;0;;;972 G;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A LA ACEPTACION DEL MISMO. 3 MESE DE GARANTIA.;;0;0;0;;;2;80;0;0;0
03/06/2010;11;000097;1131;0;52;1444,98;231,2;0;;;;;PRESUPUESTO SUSTITUCION BOMBA DE AGUA, JUNTAS, AGUA - MANO DE OBRA Y DESPLAZAMIENTO  - VALIDEZ PRESUPUESTO 15 DIAS - DISPONIBILIDAD BRUSELAS 2-3 DIAS;;0;0;0;;;1;85;0;0;0
03/06/2010;13;000034;1091;0;53;219,17;35,07;0;;;PC 1250-7;;;;0;0;0;;;0;0;0;0;0
03/06/2010;13;000035;1121;0;49;72,33;11,57;0;;;;;DISPONIBILIDAD  EN MADRID ;;0;0;0;;;0;0;0;0;0
03/06/2010;13;000036;1121;0;49;1451,14;232,18;0;;;;;DISPONIBILIDAD BRUSELAS 2/3DIAS;;0;0;0;;;0;0;0;0;0
03/06/2010;11;000098;1122;0;12;130,05;20,81;0;;;;;PRESUPUESTO MATERIAL PARA 980D - 2XD00419 - PLAZO 5 DIAS - PORTES INCLUIDOS;;0;0;0;;;0;0;0;0;0
04/06/2010;11;000099;1165;0;52;2706,32;433,01;0;;;D 65 EX-15;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. LA HORAS DE MANO DE OBRA SON APROX. FIRMAR Y SELLAR A LA ACEPTACION DEL PRESUPUESTO.;;0;0;0;;;1;113;0;0;15
07/06/2010;13;000037;1077;0;47;3048,94;487,83;0;;;;;PLAZO DE ENTREGA 10-12 DIAS. NO TIENE DEVOLUCION;;0;0;0;;;0;0;0;0;0
07/06/2010;13;000038;1091;0;53;4398,07;703,69;0;;;D155 Nº0502;;PLAZO DE ENTREGA 24 HORAS;;0;0;0;;;0;0;0;0;0
08/06/2010;13;000039;0;0;0;238,5;38,16;0;;;WB93R-2;;;;0;0;0;;;0;0;0;0;0
09/06/2010;11;000100;1091;0;53;3588,3;574,13;0;;;D155 Nº0502;;;;0;0;0;;;0;0;0;0;0
09/06/2010;11;000101;1091;0;53;11819,22;1891,08;0;;;WA500-3 Nº 329;;ESTE PRESUPUESTO TENDRA UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A SU ACEPTACION. DISPONIBILIDAD MADRID Y BRUSELAS: 3/4 DIAS;;0;0;0;;;0;0;0;0;0
10/06/2010;13;000040;1167;0;45;465,87;74,54;0;;;HD 465S-7 Nº 517;;ESTE PRESUPUESTO ES POR CADA ACUMULADOR.
LA MAQUINA LLEVA TRES ACUMULADORES .
PLAZO DE ENTREGA 2/3 DIAS.
VALIDEZ DEL PRESUPUESTO 15 DIAS .;;0;0;0;;;0;0;0;0;0
11/06/2010;13;000041;1164;0;0;2608,88;417,42;0;;;;;VALIDEZ PRESUPUESTO 15 DIAS
PLAZO 3/4  DIAS;;0;0;0;;;0;0;0;0;0
11/06/2010;11;000102;952;0;3;545,51;87,28;0;;;L 120 E;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. EL PLAZO DE MATERIAL ES DE 1 SEMANA APROX. DESDE LA ACEPTACION DEL MISMO. FIRMAR Y SELLAR A LA ACEPTACION DEL MISMO.;;0;0;0;;;0;0;0;0;0
11/06/2010;13;000042;1167;0;45;206,43;33,03;0;;;;;Ref.51322667  plazo de entrega 7/10 dias .
Resto disponibilidad en stok (1/2 dias)
;;0;0;0;;;0;0;0;0;0
11/06/2010;11;000103;1095;0;53;2395,77;383,32;0;;;CAT 938G II Nº 0328;;PLAZO DE ENTREGA DEL MATERIAL 5 ó 6 DIAS , MANDAR FIRMADO Y SELLADO A LA ACEPTACION DEL PRESUPUESTO;;0;0;0;;;0;0;0;0;0
15/06/2010;13;000043;00;0;0;175,21;28,03;0;;;;;TALLERES SANCHEZ
WB93R-2;;0;0;0;;;0;0;0;0;0
16/06/2010;13;000045;0;0;1;3350,17;536,03;0;;;;;JOSE ANTONIO DOMINGUEZ
VALIDEZ PRESUPUESTO 15 DIAS 
DISPONIBILIDAD 2/3 DIAS;;0;0;0;;;0;0;0;0;0
16/06/2010;13;000046;1167;0;45;167,18;26,75;0;;;;;PLAZO DE ENTREGA PARA LOS FILTROS 35858927 Y 53096434 INMEDIATO, PARA EL 51125649 SON 3 SEMANAS.;;0;0;0;;;0;0;0;0;0
15/06/2010;11;000104;1091;0;53;2717,1;434,74;0;;;PC 1100 Nº 0207;;;;0;0;0;;;0;0;0;0;0
16/06/2010;13;000047;1051;0;3;3313,22;530,12;0;;;;;VALIDEZ PRESUPUESTO 15 DIAS
DISPONIBILIDAD2/3 DIAS;;0;0;0;;;0;0;0;0;0
16/06/2010;11;000105;402;0;45;1422,59;227,61;0;;;CAT 908;;ESTE PRESUPUESTO ES APROXIMADO, MANDAR SELLADO Y FIRMADO A LA ACEPTACION DEL MISMO, LA CARCASA TIENE UN PLAZO DE ENTREGA DE 15 DIAS;;0;0;0;;;2;56;0;0;0
16/06/2010;13;000048;1091;0;53;2475,44;396,07;0;;;PC-750;;VALIDEZ PRESUPUESTO 15 DIAS
DISPONIBILIDAD STOCK;;0;0;0;;;0;0;0;0;0
16/06/2010;13;000049;00;0;0;254,88;40,78;0;;;;;JOSE ZARRIAS .
;;0;0;0;;;0;0;0;0;0
17/06/2010;11;000106;932;0;45;359,66;57,55;0;;;IT 28 CAT;;TIENE UNA VALIDEZ DE 15 DIAS. FIRMAR Y SELLAR A LA ACEPTACION DEL MISMO. PLAZO DE 2 A 3 SEMANAS. SOLO SE PRESUPUESTA MATERIAL.;;0;0;0;;;0;0;0;0;0
17/06/2010;11;000107;931;0;49;896,65;143,46;0;;;IT 28 GL;;;;0;0;0;;;2;135;0;0;0
17/06/2010;11;000108;1072;0;49;4658,16;745,31;0;;;CAT D6R 1;;PLAZO DE ENTREGA DEL MATERIAL 5 Ó 6 DIAS LABORABLES, MANDAR SELLADO Y FIRMADO ACEPTACION DEL PRESUPUESTO, MATERIAL ORIGINAL CAT;;0;0;0;;;0;0;0;0;0
18/06/2010;13;000050;1159;0;48;833,45;133,35;0;;;PC 340-7;;VALIDEZ DEL PRESUPUESTO 15 DIAS
DISPONIBILIDAD 2/3 DIAS
LA APLICACION DEL 12%  DE DESCUENTO CONLLEVA DEVOLVER EL MOTOR DE ARRANQUE VIEJO Y LA ACEPTACION DEL MISMO POR PARTE DE KESA;;0;0;0;;;0;0;0;0;0
21/06/2010;13;000051;1195;0;3;405,87;64,94;0;;;;;TALLERES SANCHEZ LOPEZ;;0;0;0;;;0;0;0;0;0
21/06/2010;13;000052;1129;0;40;23533,7;3765,39;0;;;WA 380-6;;Presupuesto con la maquina puesta en nuestras instalaciones.;;0;0;0;;;0;0;0;0;0
21/06/2010;11;000109;1095;0;53;302,46;48,39;0;;;;;;;0;0;0;;;0;0;0;0;0
18/06/2010;11;000110;402;0;45;5363,04;858,09;0;;;CAT 908;;ESTE PRESUPUESTO ES APROXIMADO, MANDAR SELLADO Y FIRMADO A LA ACEPTACION DEL MISMO, EL REDUCTOR TIENE UN PLAZO DE ENTREGA DE 4 DIAS;;0;0;0;;;2;56;0;0;0
23/06/2010;11;000111;1165;0;52;764,69;122,35;0;;;BACKUS 15.50;;ESTE PRESUPUESTO TIENE UNA VALIDEZ DE 15 DIAS. AL NO SABER CUANTOS LITROS LLEVA EL DEPOSITO HIDRAULICO, NO SE LE PRESUPUESTA. SOLO EL PRECIO DEL LITRO (2,55 _/l).;;0;0;0;;;1;113;0;0;15
23/06/2010;14;000001;00;0;0;25,32;4,05;0;;;;;PEDRO TOMAN NIETO
SK818-5;;0;0;0;;;0;0;0;0;0
23/06/2010;11;000112;344;0;45;11214,78;1794,36;0;;;L 220 E;;ESTE PRESUPUESTO ES APROXIMADO, LA REPARACION SE REALIZARA EN NUESTRA INSTALACIONES , MANDAR SELLADO Y FIRMADO A LA ACEPTACION DEL MISMO, EL CONVERTIDOR TIENE UN PLAZO DE ENTREGA DE 10 DIAS PORTE GONDOLA NO INCLUIDO;;0;0;0;;;0;0;0;0;0
23/06/2010;11;000113;344;0;45;22402,35;3584,38;0;;;L 220 E;;ESTE PRESUPUESTO ES APROXIMADO, LA REPARACION SE REALIZARA EN NUESTRA INSTALACIONES , MANDAR SELLADO Y FIRMADO A LA ACEPTACION DEL MISMO, EL CONVERTIDOR TIENE UN PLAZO DE ENTREGA DE 10 DIAS PORTE GONDOLA NO INCLUIDO;;0;0;0;;;0;0;0;0;0
23/06/2010;14;000002;289;0;11;635,88;101,74;0;;;;;;;0;0;0;;;0;0;0;0;0
24/06/2010;14;000003;36;0;4;500,27;80,04;0;;;;;A/A JORGE
;;0;0;0;;;0;0;0;0;0
23/06/2010;11;000114;402;0;45;1581,45;253,03;0;;;CAT IT 28 G;;ESTE PRESUPUESTO ES APROXIMADO, MANDAR SELLADO Y FIRMADO A LA ACEPTACION DEL MISMO,LA BOMBA TIENE UN PLAZO DE ENTREGA DE 10 DIAS;;0;0;0;;;1;56;0;0;0
25/06/2010;14;000004;289;0;11;429,39;68,7;0;;;;;;;0;0;0;;;0;0;0;0;0
28/06/2010;11;000115;1115;0;48;486,15;77,78;0;;;PC340NLC-6K;;PLAZO DE ENTREGA 3 DIAS ESTA EN BRUCELAS , RETEN STOCK , MANDAR FIRMADO Y SELLADO A LA ACEPTACION DEL PRESUPUESTO;;0;0;0;;;0;0;0;0;0
28/06/2010;14;000005;00;0;0;164,15;26,26;0;;;;;JUAN MANUEL ANTUNEZ RODRIGUEZ;;0;0;0;;;0;0;0;0;0
29/06/2010;13;000053;1159;0;48;1168,58;186,97;0;;;PC340NLC-7K;;PORTES PAGADOS. (45219) PLAZO DE ENTREGA 2 DIAS.;;0;0;0;;;0;0;0;0;0
29/06/2010;13;000054;1110;0;45;3448,49;551,76;0;;;;;Plazo de entrega 10/12 días.;;0;0;0;;;0;0;0;0;0
29/06/2010;14;000006;0;0;0;1233,14;197,3;0;;;;;JOSE FRANCISCO MAGRIZ
FAI 344;;0;0;0;;;0;0;0;0;0
30/06/2010;14;000007;00;0;0;1783,19;285,31;0;;;;;INERTEGARVE , LDA
PC240NLC-5K;;0;0;0;;;0;0;0;0;0
30/06/2010;13;000055;00;0;0;545;87,2;0;;;;;;;0;0;0;;;0;0;0;0;0
30/06/2010;11;000116;846;0;3;2177,25;348,36;0;;;EC 460B LC Nº2;;PLAZO DE ENTREGA MATERIAL 4 DIAS , ACEPTACION DEL MISMO , MANDAR SELLADO , FIRMADO Y TRANSFERENCIA BANCARIA C.RURAL3187-0806-96-2352751826 LA TAPA BALANCINES TIENEN UNA ELLOS          ;;0;0;0;;;2;254;0;0;15
30/06/2010;11;000117;00;0;0;11729,3;1876,69;0;;;VOLVO L 70D;;ESTE PRESUPUESTO ES APROXIMADO, MANDAR SELLADO Y FIRMADO PARA LA ACEPTACION DEL MISMO.;;0;0;0;;;0;0;0;0;0
01/07/2010;11;000118;1091;0;53;7458;1342,44;0;;;;;NO ESTAN INCLUIDAS LAS DIETAS, LAS HORAS QUE EXCEDAN DE LAS PRESUPUESTADAS SE FACTURAN A PARTE.;;0;0;0;;;22;115;0;0;0
01/07/2010;11;000119;50;0;45;16525,16;2974,53;0;;;966;;EN ESTE PRESUPUESTO NO ESTA INCLUIDO , BOMBA INYECTORA , INYECTORES , BOMBI ALIMENTADOR , MOTOR ARRANQUE NI ALTERNADOR , AIRE ACONDICIONADO ;;350;0;0;;;0;0;208;0,36;64
02/07/2010;11;000120;50;0;45;1774,66;319,44;0;;;;;EN ESTOS PRECIOS NO ESTA INCLUIDO LA TASA ECOLOCA DE SIGAUS Y LA ENTREGA A LA GESTORA DE RESIDUOS. PARA ECHAR LOS ACEITES DESDE ALMACEN, NECESITAMOS UNA CARRETILLA ELEVADORA PARA RECOGER LOS BIDONES, PASARLOS A REGADERAS Y LUEGO PONERLOS EN LA MAQUINA, ASI QUE EL TIEMPO DEL MANTENIMIENTO DE LA MAQUINA SE DUPLICA YA QUE NOSOTROS LO LLEVAMOS EN NUESTRO CAMION CON DEPOSITOS  AUTOBOMBAS, ASPIRANDO EL ACEITE USADO Y ECHANDO EL ACEITE NUEVO, CON EL AHORRO DE TIEMPO QUE ELLO CONLLEVA.;;0;0;0;;;0;0;0;0;0
23/06/2010;11;000121;1097;0;45;3023,77;483,8;0;;;HD 465-5 Nº0407;02/07/2010;REPARACION DE BOMBA INYECTORA, DESMONTAJE Y MONTAJE EN CAMION;32727;181,23;0;0;;;2;140;0;0;0
05/07/2010;14;000008;00;0;0;322,23;58;0;;;;;ANTONIO CARVAJAL E HIJOS
PC240-7
VALIDEZ PRESUPUESTO 15 DIAS 
DISPONIBILIDAD 2 DIAS;;0;0;0;;;0;0;0;0;0
05/07/2010;14;000009;00;0;0;1113,05;200,35;0;;;;;CANTERAS SANTA  ANA -( WA480-5)
VALIDEZ DEL PRESUPUESTO 15 DIAS 
DISPONIBILIDAD 2/3 DIAS;;0;0;0;;;0;0;0;0;0
05/07/2010;14;000010;00;0;0;5695,7;1025,23;0;;;;;PC210-6K nº serie 32235;;0;0;0;;;0;0;0;0;0
06/07/2010;13;000056;6;0;11;410;73,8;0;;;;;;;0;0;0;;;0;0;0;0;0
06/07/2010;13;000057;253;0;3;18053;3249,54;0;;;;;Material disponible salvo venta.;;0;0;0;;;0;0;0;0;0
06/07/2010;14;000011;00;0;0;694,35;124,98;0;;;;;MANUEL JESUS LOPEZ CATALAN
WB97R-5;;0;0;0;;;0;0;0;0;0
07/07/2010;13;000058;253;0;3;17660;3178,8;0;;;;;PLAZO DE ENTREGA 5/6 SEMANAS.
GARANTIA DE UN MES.;;0;0;0;;;0;0;0;0;0
07/07/2010;13;000059;253;0;3;54300;9774;0;;;;;NO ESTA DISPONIBLE;;0;0;0;;;0;0;0;0;0
07/07/2010;11;000122;1097;0;45;14378,76;2588,18;0;;;HD 465-5 Nº0406;;ESTE PRESUPUESTO ES APROXIMADO , SI EN EL CURSO DE LA REPARACION APARECIERA PIEZAS DEFECTUOSAS SE PASARIA PRESUPUESTO, PLAZO DE ENTREGA MATERIAL 2 DIAS LABORABLES ;;0;0;0;;;0;140;5;220;160
09/07/2010;14;000012;1187;0;0;1868,06;336,25;0;;;;;WB93R-2
DISPONIBILIDAD 2/3 DIAS 
VALIDEZ PRESUPUESTO 15 DIAS;;0;0;0;;;0;0;0;0;0
12/07/2010;14;000013;00;0;0;15,81;2,85;0;;;;;SEVILLANA MAQUINARIA
DISPONIBILIDAD MADRID;;0;0;0;;;0;0;0;0;0
12/07/2010;14;000014;1017;0;48;6352,93;1143,53;0;;;WA 500 Nº2;;PLAZO DE ENTREGA 2/3 DIAS. OFERTA PARA PRESUPUESTO COMPLETO.;;0;0;0;;;0;0;0;0;0
13/07/2010;14;000015;00;0;0;3381,28;608,63;0;;;;;GD521A-1 (MOTONIVELADORA)
HNS CORTAZAR RODRIGUEZ
DISPONIBILIDAD 15 DIAS 
VALIDEZ PRESUPUESTO 15 DIAS;;0;0;0;;;0;0;0;0;0
12/07/2010;11;000123;1097;0;45;3110,4;559,87;0;;;HD 465-5 Nº0406;;;;0;0;0;;;0;0;0;0;0
14/07/2010;11;000124;1097;0;45;66855,8;12034,04;0;;;HD 465-5 Nº0406;;SI  ADEMAS DEL CIGUENAL, APARARECIERA ALGUN OTRO ELEMENTO DAÑADO , COMO CULATA , BLOQUE ETC. , SE FACTURARIA A PARTE, PLAZO DE ENTREGA INMEDIATO;;0;0;0;;;0;0;0;0;0
15/07/2010;14;000016;989;0;4;7668,73;1380,37;0;;;PC450LC-7K;;validez presupuesto 15 dias 
plazo de entrega 10/12 dias 
descuento valido para el pedido completo;;0;0;0;;;0;0;0;0;0
15/07/2010;14;000017;00;0;0;3210;577,8;0;;;;;WB97R-5
MANUEL JESUS LOPEZ CATALAN 
AIRE ACOND. ACOPLADO PARTE IZQUIERDA ABAJO DE LA GABINA;;0;0;0;;;0;0;0;0;0
15/07/2010;11;000125;253;0;3;96,24;17,32;0;;;BOBCAT S130;;PRESUPUESTO FILTROS PARA BODCAT - S/REF.: 42870 SSG- PLAZO ENTREGA 2 DIAS - PRESUPUESTO VALIDO 15 DÍAS - PUESTO EN SUS INSTALACIONES;;0;0;0;;;0;0;0;0;0
16/07/2010;11;000126;1131;0;52;2112;380,16;0;;;WA470-6;;;;30;0;0;;;2;85;0;0;0
